Location,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
China,403.3874316,390.6621021,382.8433819,377.2721864,372.9799921,369.5085563,366.6060757,364.1198853,361.9507131,360.0305236,358.3107394,356.755517,355.3376857,354.0361795,352.8343503,351.7188228,350.678697,349.7049778,348.7901597,347.9279177,347.1128747,346.3404225,345.6065833,344.9079011,344.2413548,343.6042888,342.9943575,342.4094785,341.8477956,341.3076475,340.7875413,340.286131,339.8021993,339.3346413,338.8824515,338.4447125,338.0205848,337.6092985,337.210146,336.822475,336.4456838,336.0792154,335.7225539,335.37522,335.0367682,334.7067834,334.3848783,334.070691,333.7638829,333.4641367,333.1711547,332.8846572,332.6043812,332.3300789,332.0615168,331.7984745,331.5407439,331.2881279,331.0404402,330.7975041,330.5591522,330.3252255,330.0955729,329.8700508,329.6485226,329.4308582,329.2169335,329.0066303,328.7998356,328.5964418,328.3963458
Denmark,435.7216911,422.9963616,415.1776414,409.6064459,405.3142517,401.8428158,398.9403353,396.4541448,394.2849726,392.3647831,390.644999,389.0897765,387.6719452,386.370439,385.1686098,384.0530823,383.0129565,382.0392373,381.1244192,380.2621772,379.4471342,378.674682,377.9408428,377.2421606,376.5756143,375.9385484,375.328617,374.743738,374.1820552,373.641907,373.1218008,372.6203906,372.1364588,371.6689008,371.216711,370.778972,370.3548443,369.9435581,369.5444055,369.1567345,368.7799433,368.413475,368.0568134,367.7094795,367.3710278,367.041043,366.7191378,366.4049506,366.0981425,365.7983962,365.5054142,365.2189167,364.9386407,364.6643384,364.3957763,364.1327341,363.8750034,363.6223874,363.3746997,363.1317636,362.8934117,362.659485,362.4298324,362.2043104,361.9827822,361.7651177,361.551193,361.3408898,361.1340951,360.9307013,360.7306053
Egypt,365.5109419,352.7856125,344.9668923,339.3956968,335.1035025,331.6320667,328.7295861,326.2433957,324.0742234,322.154034,320.4342498,318.8790274,317.461196,316.1596899,314.9578607,313.8423332,312.8022074,311.8284882,310.9136701,310.0514281,309.2363851,308.4639328,307.7300937,307.0314115,306.3648651,305.7277992,305.1178679,304.5329889,303.971306,303.4311579,302.9110516,302.4096414,301.9257097,301.4581517,301.0059619,300.5682229,300.1440952,299.7328089,299.3336563,298.9459854,298.5691942,298.2027258,297.8460643,297.4987304,297.1602786,296.8302938,296.5083887,296.1942014,295.8873933,295.5876471,295.2946651,295.0081676,294.7278916,294.4535893,294.1850272,293.9219849,293.6642542,293.4116382,293.1639505,292.9210145,292.6826626,292.4487359,292.2190833,291.9935612,291.772033,291.5543686,291.3404439,291.1301406,290.923346,290.7199522,290.5198562
Finland,471.1008802,458.3755508,450.5568306,444.9856351,440.6934408,437.222005,434.3195244,431.833334,429.6641617,427.7439723,426.0241881,424.4689657,423.0511343,421.7496282,420.547799,419.4322715,418.3921457,417.4184265,416.5036084,415.6413664,414.8263234,414.0538711,413.320032,412.6213498,411.9548034,411.3177375,410.7078062,410.1229272,409.5612443,409.0210962,408.5009899,407.9995797,407.515648,407.04809,406.5959002,406.1581612,405.7340335,405.3227472,404.9235946,404.5359237,404.1591325,403.7926641,403.4360026,403.0886687,402.7502169,402.4202321,402.098327,401.7841397,401.4773316,401.1775854,400.8846034,400.5981059,400.3178299,400.0435276,399.7749655,399.5119232,399.2541925,399.0015765,398.7538888,398.5109528,398.2726009,398.0386742,397.8090216,397.5834995,397.3619713,397.1443069,396.9303822,396.7200789,396.5132843,396.3098905,396.1097945
France,416.8296079,404.1042785,396.2855583,390.7143628,386.4221685,382.9507327,380.0482521,377.5620617,375.3928894,373.4727,371.7529158,370.1976934,368.779862,367.4783559,366.2765267,365.1609992,364.1208734,363.1471542,362.2323361,361.3700941,360.5550511,359.7825988,359.0487597,358.3500775,357.6835311,357.0464652,356.4365339,355.8516549,355.289972,354.7498239,354.2297176,353.7283074,353.2443757,352.7768177,352.3246279,351.8868889,351.4627612,351.0514749,350.6523223,350.2646514,349.8878602,349.5213918,349.1647303,348.8173964,348.4789446,348.1489598,347.8270547,347.5128674,347.2060593,346.9063131,346.6133311,346.3268336,346.0465576,345.7722553,345.5036932,345.2406509,344.9829202,344.7303042,344.4826165,344.2396805,344.0013286,343.7674019,343.5377493,343.3122272,343.090699,342.8730346,342.6591099,342.4488066,342.242012,342.0386182,341.8385222
Germany,414.6191632,401.8938337,394.0751135,388.503918,384.2117237,380.7402879,377.8378073,375.3516169,373.1824447,371.2622552,369.542471,367.9872486,366.5694173,365.2679111,364.0660819,362.9505544,361.9104286,360.9367094,360.0218913,359.1596493,358.3446063,357.5721541,356.8383149,356.1396327,355.4730864,354.8360205,354.2260891,353.6412101,353.0795272,352.5393791,352.0192729,351.5178627,351.0339309,350.5663729,350.1141831,349.6764441,349.2523164,348.8410301,348.4418776,348.0542066,347.6774154,347.310947,346.9542855,346.6069516,346.2684998,345.938515,345.6166099,345.3024226,344.9956145,344.6958683,344.4028863,344.1163888,343.8361128,343.5618105,343.2932484,343.0302061,342.7724755,342.5198595,342.2721718,342.0292357,341.7908838,341.5569571,341.3273045,341.1017824,340.8802543,340.6625898,340.4486651,340.2383619,340.0315672,339.8281734,339.6280774
Iceland,480.8049674,468.079638,460.2609177,454.6897222,450.397528,446.9260921,444.0236116,441.5374211,439.3682489,437.4480595,435.7282753,434.1730528,432.7552215,431.4537154,430.2518861,429.1363586,428.0962328,427.1225137,426.2076955,425.3454536,424.5304105,423.7579583,423.0241191,422.3254369,421.6588906,421.0218247,420.4118933,419.8270143,419.2653315,418.7251833,418.2050771,417.7036669,417.2197352,416.7521771,416.2999874,415.8622483,415.4381206,415.0268344,414.6276818,414.2400109,413.8632196,413.4967513,413.1400897,412.7927559,412.4543041,412.1243193,411.8024142,411.4882269,411.1814188,410.8816726,410.5886906,410.3021931,410.021917,409.7476147,409.4790526,409.2160104,408.9582797,408.7056637,408.457976,408.2150399,407.976688,407.7427613,407.5131087,407.2875867,407.0660585,406.848394,406.6344693,406.4241661,406.2173715,406.0139776,405.8138816
India,368.8536828,356.1283534,348.3096331,342.7384376,338.4462434,334.9748075,332.072327,329.5861365,327.4169643,325.4967749,323.7769907,322.2217682,320.8039369,319.5024308,318.3006015,317.185074,316.1449482,315.171229,314.2564109,313.3941689,312.5791259,311.8066737,311.0728345,310.3741523,309.707606,309.0705401,308.4606087,307.8757297,307.3140469,306.7738987,306.2537925,305.7523823,305.2684506,304.8008925,304.3487028,303.9109637,303.486836,303.0755498,302.6763972,302.2887263,301.911935,301.5454667,301.1888051,300.8414713,300.5030195,300.1730347,299.8511296,299.5369423,299.2301342,298.930388,298.6374059,298.3509084,298.0706324,297.7963301,297.527768,297.2647258,297.0069951,296.7543791,296.5066914,296.2637553,296.0254034,295.7914767,295.5618241,295.3363021,295.1147739,294.8971094,294.6831847,294.4728815,294.2660869,294.062693,293.862597
Indonesia,374.494854,361.7695246,353.9508044,348.3796089,344.0874146,340.6159788,337.7134982,335.2273078,333.0581355,331.1379461,329.4181619,327.8629395,326.4451082,325.143602,323.9417728,322.8262453,321.7861195,320.8124003,319.8975822,319.0353402,318.2202972,317.4478449,316.7140058,316.0153236,315.3487772,314.7117113,314.10178,313.516901,312.9552181,312.41507,311.8949637,311.3935535,310.9096218,310.4420638,309.989874,309.552135,309.1280073,308.716721,308.3175684,307.9298975,307.5531063,307.1866379,306.8299764,306.4826425,306.1441907,305.8142059,305.4923008,305.1781135,304.8713054,304.5715592,304.2785772,303.9920797,303.7118037,303.4375014,303.1689393,302.905897,302.6481663,302.3955504,302.1478626,301.9049266,301.6665747,301.432648,301.2029954,300.9774733,300.7559451,300.5382807,300.324356,300.1140527,299.9072581,299.7038643,299.5037683
Iran,384.2826086,371.5572792,363.738559,358.1673635,353.8751692,350.4037334,347.5012528,345.0150624,342.8458901,340.9257007,339.2059165,337.6506941,336.2328628,334.9313566,333.7295274,332.6139999,331.5738741,330.6001549,329.6853368,328.8230948,328.0080518,327.2355995,326.5017604,325.8030782,325.1365318,324.4994659,323.8895346,323.3046556,322.7429727,322.2028246,321.6827183,321.1813081,320.6973764,320.2298184,319.7776286,319.3398896,318.9157619,318.5044756,318.105323,317.7176521,317.3408609,316.9743925,316.617731,316.2703971,315.9319453,315.6019605,315.2800554,314.9658681,314.65906,314.3593138,314.0663318,313.7798343,313.4995583,313.225256,312.9566939,312.6936516,312.435921,312.183305,311.9356172,311.6926812,311.4543293,311.2204026,310.99075,310.7652279,310.5436997,310.3260353,310.1121106,309.9018073,309.6950127,309.4916189,309.2915229
